date,open,high,low,close,volume
2025-01-02,10010.37,10077.99,9919.19,10056.38,63737
2025-01-03,10037.87,10180.93,10016.41,10139.14,48328
2025-01-06,10140.48,10247.42,10051.23,10149.42,26306
2025-01-07,10096.88,10183.33,10022.5,10066.84,72622
2025-01-08,10074.1,10147.07,9961.13,10043.11,75520
2025-01-09,10025.75,10073.57,9972.1,10001.62,29412
2025-01-10,9984.46,10090.36,9920.12,10032.34,50492
2025-01-13,10004.39,10040.9,9911.94,9983.23,21155
2025-01-14,10028.0,10161.87,10014.75,10104.26,19724
2025-01-15,10104.21,10199.6,10032.95,10149.69,68106
2025-01-16,10156.32,10236.35,10127.58,10167.73,18341
2025-01-17,10143.71,10338.18,10118.13,10245.48,34098
2025-01-20,10245.1,10361.79,10190.02,10294.35,46074
2025-01-21,10336.45,10404.77,10237.9,10329.43,21096
2025-01-22,10280.37,10369.92,10262.36,10320.33,21091
2025-01-23,10372.11,10603.32,10348.33,10540.32,44134
2025-01-24,10581.52,10777.87,10569.62,10749.76,67043
2025-01-27,10794.05,10907.07,10735.93,10834.39,11748
2025-01-28,10864.28,11071.19,10787.82,10967.85,58910
2025-01-29,10995.67,11103.34,10965.47,10984.85,47405
2025-01-30,10948.61,11043.66,10916.63,10994.12,43704
2025-01-31,11014.34,11176.25,10928.79,11121.18,12810
2025-02-03,11067.8,11271.05,10986.9,11182.11,48256
2025-02-04,11202.27,11455.28,11171.54,11370.83,74352
2025-02-05,11329.08,11416.87,11257.44,11341.55,53047
2025-02-06,11404.2,11511.97,11388.88,11490.45,48388
2025-02-07,11541.42,11749.04,11523.39,11641.27,67599
2025-02-10,11662.88,11755.62,11624.79,11707.0,50714
2025-02-11,11756.41,11925.18,11690.53,11828.04,39721
2025-02-12,11818.17,11946.35,11762.82,11834.17,55983
2025-02-13,11814.42,11905.41,11754.58,11843.34,53730
2025-02-14,11866.69,11963.56,11748.75,11881.23,47972
2025-02-17,11852.27,11987.96,11818.34,11920.88,47512
2025-02-18,11892.75,12065.92,11876.99,12005.15,55281
2025-02-19,12041.49,12263.23,11988.49,12146.41,33915
2025-02-20,12094.89,12121.2,12024.09,12098.06,79811
2025-02-21,12108.08,12311.03,12083.03,12259.28,63239
2025-02-24,12303.21,12517.65,12260.05,12396.52,71775
2025-02-25,12345.28,12407.12,12264.64,12287.68,26447
2025-02-26,12285.0,12315.9,12187.44,12206.12,57608
2025-02-27,12236.16,12419.01,12116.99,12307.4,19776
2025-02-28,12269.57,12294.57,12156.47,12262.88,21588
2025-03-03,12272.16,12453.14,12235.32,12338.39,18897
2025-03-04,12290.27,12336.98,12088.64,12205.4,51315
2025-03-05,12162.89,12315.83,12079.52,12204.67,34265
2025-03-06,12199.74,12384.9,12135.8,12264.23,48756
2025-03-07,12265.08,12390.38,12223.69,12295.04,35774
2025-03-10,12246.99,12281.65,12157.05,12226.73,72052
2025-03-11,12285.5,12345.64,12101.63,12165.32,17024
2025-03-12,12131.55,12165.65,11987.47,12051.09,26416
2025-03-13,12112.38,12196.24,12072.27,12154.0,43714
2025-03-14,12163.57,12186.27,11896.72,12016.74,71936
2025-03-17,11997.22,12058.37,11843.89,11954.0,13227
2025-03-18,11883.1,11963.49,11630.23,11706.82,69550
2025-03-19,11642.96,11682.98,11422.4,11529.33,67873
2025-03-20,11584.87,11620.83,11526.56,11587.5,34057
2025-03-21,11536.92,11634.97,11244.91,11353.21,24087
2025-03-24,11301.96,11337.42,11091.28,11165.64,61709
2025-03-25,11216.82,11261.27,11029.78,11043.05,28475
2025-03-26,11008.83,11040.98,10914.12,10998.4,56226
2025-03-27,10952.27,11007.56,10786.92,10846.65,29830
2025-03-28,10851.89,10917.51,10746.18,10811.94,68677
2025-03-31,10769.62,10817.89,10587.65,10643.98,61871
2025-04-01,10678.11,10722.17,10555.35,10626.67,39398
2025-04-02,10599.36,10677.19,10402.09,10446.76,71227
2025-04-03,10494.86,10623.8,10458.75,10531.69,39748
2025-04-04,10523.63,10627.09,10372.68,10387.26,69184
